Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type,Missing_Value_Code,header_count,associated_files
Accuracy_percent,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Accuracy_threshold_percent,percent,"The accuracy of predictions made by the YOLO model, assigned by the YOLO model.",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Altitude_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Altitude_reference,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
area_covered_percent,percent,Area of image covered by identified particles.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_Train1_Prediction1_40.csv
Area_m2,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Area_ratio_below_2mm_percent,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Area_ratio_percent,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Author,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
CAT_BASIN_AREA,kilometers squared,Basin area pulled from National Hydrography Dataset; catchment scale.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/nhd_yrb_D50_variable_updated.csv
CAT_ELEV_MEAN,meter,Mean elevation pulled from National Hydrography Dataset; catchment scale.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/nhd_yrb_D50_variable_updated.csv
CAT_PET,millimeters per year,Potential evapotranspiration pulled from National Hydrography Dataset; catchment scale.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/nhd_yrb_D50_variable_updated.csv
CAT_PRSNOW,percent,Precipitation as snow pulled from National Hydrography Dataset; catchment scale.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/nhd_yrb_D50_variable_updated.csv
CAT_STREAM_LENGTH,kilometers,Stream length pulled from National Hydrography Dataset; catchment scale.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/nhd_yrb_D50_variable_updated.csv
CAT_STREAM_SLOPE,percent,Mean stream slope pulled from National Hydrography Dataset; catchment scale.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/nhd_yrb_D50_variable_updated.csv
Column_Long_Name,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_dd.csv
Column_or_Row_Name,N/A,Column or row headers from each tabular file (csv or tsv) in the dataset.,text,column_header,"""N/A""; ""-9999""; """"; ""NA""",0,dd template
Column_or_Row_Name_Position,N/A,"The location of the column or row that contains the header names (i.e., column name or row name). The count used to identify the location assumes the numbering begins at 1 (rather than 0) and excludes columns or rows that begin with ""#"". Most data in this data package is oriented in columns, so this field indicates the tabular location of the row that holds the column names (e.g., If row 1 has the column headers, row 2 has the units, and row 3 has the data values, then this value would be 1 - to indicate the location of the column header row).",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",0,flmd template
COMID,N/A,Stream reach COMID. COMID is an identifier for catchment polygons used by NHDPlus.,text,column_header,"""N/A""; ""-9999""; """"; ""NA""",3,"/d50_computer_vision/data/nhd_yrb_D50_variable_updated.csv, /d50_computer_vision/data/RC2_all_D50.csv, /d50_computer_vision/data/RC2_all_stream_Attributes_updated.csv"
Corrected,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
count,count,Count_raw normalized by dividing by a scaling factor to match scales between sample size in Abeshu et al. and the dataset used for this study.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/abeshu_fig1_digitized.csv
count_raw,count,Count value from histogram bar in figure 4 of Abeshu et al. (2022; doi:10.5194/essd-14-929-2022).,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/abeshu_fig1_digitized.csv
D10_area_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
D10_count_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
D50_area_meter,meter,d50 value estimated by area determined by the YOLO model.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
D50_count_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
d50_mm,millimeter,d50 value reported in millimeters.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/221114_usgs_d50_matched.csv
d50_mm_abeshu,millimeter,Median particle size determined by the model in Abeshu et al. (2022; doi:10.5194/essd-14-929-2022).,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/250314_rc2_master.csv
d50_mm_guta,millimeter,Median particle size determined by the model in Abeshu et al. (2022; doi:10.5194/essd-14-929-2022).,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/RC2_all_D50.csv
d50_mm_log2,millimeter,Log2-transformed d50 value from figure 4 of Abeshu et al. (2022; doi:10.5194/essd-14-929-2022).,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/abeshu_fig1_digitized.csv
d50_mm_nexss,millimeter,Median particle size determined by the Networks with EXchange and Subsurface Storage (NEXSS) model.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",2,"/d50_computer_vision/data/250314_rc2_master.csv, /d50_computer_vision/data/RC2_all_D50.csv"
d50_mm_yolo,millimeter,Median particle size determined by the YOLO model.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",2,"/d50_computer_vision/data/250314_rc2_master.csv, /d50_computer_vision/data/nhd_yrb_D50_variable_updated.csv"
D50_x_area_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
D50_x_count_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
D50_y_area_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
D50_y_count_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
D5_area_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
D5_count_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
D60_area_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
D60_count_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
D84_area_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
D84_count_meter,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,"/d50_computer_vision/data/d50_dd.csv, dd template"
Date_PST,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Date_Second,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Definition,N/A,Description of the information in a given column or row in the dataset.,text,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,"/d50_computer_vision/data/d50_dd.csv, dd template"
distance_from_rc_m,meter,The distance from the main stem of the Yakima River for a given site.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/221114_usgs_d50_matched.csv
File,N/A,The file name of files in the data package.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_dd.csv
File_Description,N/A,A brief description of the files in the data package.,text,column_header,"""N/A""; ""-9999""; """"; ""NA""",0,flmd template
File_Name,N/A,Name of files in the data package.,text,column_header,"""N/A""; ""-9999""; """"; ""NA""",0,flmd template
File_Path,N/A,File path within the data package.,text,column_header,"""N/A""; ""-9999""; """"; ""NA""",0,flmd template
Folder,N/A,The folder within the data package.,text,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
folder,N/A,Manual categorization of image suitability.,text,column_header,"""N/A""; ""-9999""; """"; ""NA""",2,"/d50_computer_vision/data/250314_rc2_master.csv, /d50_computer_vision/data/d50_Train1_Prediction1_40.csv"
Grain_number,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Grain_number_threshold,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Header_Rows,N/A,"The number of rows or the number of columns that occur before the start of tabular data. This count assumes the numbering begins at 1 (rather than 0), excludes columns or rows that begin with ""#"", and includes the column or row that the header names are on. For example, if the file has columns with variable names but does not have any other metadata header rows, then this value is 1. Most data in this data package is oriented in columns, so this field indicates the number of rows before the start of the data (e.g., If row 1 has the column headers, row 2 has the units, and row 3 has the data values, then this value would be 2 - to indicate the count of the rows prior to the data values).",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",0,flmd template
Height_above_drone_m,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Height_above_takeoff_m,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Height_m,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
height_m,meter,d50 based on particle heights.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_Train1_Prediction1_40.csv
Height_manual_m,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
